=== РЕЗУЛЬТАТЫ ПОИСКА АССОЦИАТИВНЫХ ПРАВИЛ ===
Фиксированный порог поддержки (min_support): 1.0%

Порог достоверности (min_confidence): 10%
Время генерации: 0.0000 сек.
Найдено правил: 333
Найденные правила (антецедент -> консеквент):
  {шоколад} -> {говяжий фарш} | поддержка: 0.0231, достоверность: 0.1408
  {замороженные овощи} -> {шоколад} | поддержка: 0.0229, достоверность: 0.2406
  {шоколад} -> {замороженные овощи} | поддержка: 0.0229, достоверность: 0.1400
  {курица} -> {минеральная вода} | поддержка: 0.0228, достоверность: 0.3800
  {гамбургер} -> {картофель-фри} | поддержка: 0.0220, достоверность: 0.2523
  {говяжий фарш} -> {молоко} | поддержка: 0.0220, достоверность: 0.2239
  {молоко} -> {говяжий фарш} | поддержка: 0.0220, достоверность: 0.1698
  {картофель-фри} -> {гамбургер} | поддержка: 0.0220, достоверность: 0.1287
  {блинчики} -> {яйца} | поддержка: 0.0217, достоверность: 0.2286
  {замороженные овощи} -> {яйца} | поддержка: 0.0217, достоверность: 0.2280
  {яйца} -> {блинчики} | поддержка: 0.0217, достоверность: 0.1209
  {яйца} -> {замороженные овощи} | поддержка: 0.0217, достоверность: 0.1209
  {помидоры} -> {макароны} | поддержка: 0.0216, достоверность: 0.3158
  {макароны} -> {помидоры} | поддержка: 0.0216, достоверность: 0.1149
  {замороженный смузи} -> {минеральная вода} | поддержка: 0.0203, достоверность: 0.3200
  {растительное масло} -> {минеральная вода} | поддержка: 0.0201, достоверность: 0.3943
  {блинчики} -> {картофель-фри} | поддержка: 0.0201, достоверность: 0.2118
  {картофель-фри} -> {блинчики} | поддержка: 0.0201, достоверность: 0.1178
  {говяжий фарш} -> {яйца} | поддержка: 0.0200, достоверность: 0.2035
  {яйца} -> {говяжий фарш} | поддержка: 0.0200, достоверность: 0.1113
  {рис} -> {макароны} | поддержка: 0.0199, достоверность: 0.2614
  {блинчики} -> {шоколад} | поддержка: 0.0199, достоверность: 0.2090
  {шоколад} -> {блинчики} | поддержка: 0.0199, достоверность: 0.1212
  {макароны} -> {рис} | поддержка: 0.0199, достоверность: 0.1057
  {эскалоп} -> {макароны} | поддержка: 0.0196, достоверность: 0.2471
  {макароны} -> {эскалоп} | поддержка: 0.0196, достоверность: 0.1043
  {индейка} -> {яйца} | поддержка: 0.0195, достоверность: 0.3113
  {яйца} -> {индейка} | поддержка: 0.0195, достоверность: 0.1083
  {индейка} -> {минеральная вода} | поддержка: 0.0192, достоверность: 0.3070
  {торт} -> {яйца} | поддержка: 0.0191, достоверность: 0.2352
  {замороженные овощи} -> {картофель-фри} | поддержка: 0.0191, достоверность: 0.2000
  {картофель-фри} -> {замороженные овощи} | поддержка: 0.0191, достоверность: 0.1115
  {яйца} -> {торт} | поддержка: 0.0191, достоверность: 0.1061
  {торт} -> {макароны} | поддержка: 0.0185, достоверность: 0.2286
  {креветки} -> {шоколад} | поддержка: 0.0180, достоверность: 0.2519
  {шоколад} -> {креветки} | поддержка: 0.0180, достоверность: 0.1098
  {торт} -> {картофель-фри} | поддержка: 0.0179, достоверность: 0.2204
  {гамбургер} -> {молоко} | поддержка: 0.0179, достоверность: 0.2049
  {молоко} -> {гамбургер} | поддержка: 0.0179, достоверность: 0.1379
  {картофель-фри} -> {торт} | поддержка: 0.0179, достоверность: 0.1045
  {курица} -> {макароны} | поддержка: 0.0177, достоверность: 0.2956
  {креветки} -> {молоко} | поддержка: 0.0176, достоверность: 0.2463
  {эскалоп} -> {шоколад} | поддержка: 0.0176, достоверность: 0.2218
  {молоко} -> {зеленый чай} | поддержка: 0.0176, достоверность: 0.1358
  {молоко} -> {креветки} | поддержка: 0.0176, достоверность: 0.1358
  {зеленый чай} -> {молоко} | поддержка: 0.0176, достоверность: 0.1332
  {шоколад} -> {эскалоп} | поддержка: 0.0176, достоверность: 0.1074
  {тертый сыр} -> {минеральная вода} | поддержка: 0.0175, достоверность: 0.3333
  {гамбургер} -> {зеленый чай} | поддержка: 0.0175, достоверность: 0.2003
  {зеленый чай} -> {гамбургер} | поддержка: 0.0175, достоверность: 0.1322
  {тертый сыр} -> {макароны} | поддержка: 0.0173, достоверность: 0.3308
  {индейка} -> {макароны} | поддержка: 0.0173, достоверность: 0.2772
  {говяжий фарш, макароны} -> {минеральная вода} | поддержка: 0.0172, достоверность: 0.4272
  {говяжий фарш, минеральная вода} -> {макароны} | поддержка: 0.0172, достоверность: 0.4202
  {макароны, минеральная вода} -> {говяжий фарш} | поддержка: 0.0172, достоверность: 0.2810
  {говяжий фарш} -> {макароны, минеральная вода} | поддержка: 0.0172, достоверность: 0.1750
  {лосось} -> {минеральная вода} | поддержка: 0.0171, достоверность: 0.4013
  {травы и перец} -> {минеральная вода} | поддержка: 0.0171, достоверность: 0.3450
  {оливковое масло} -> {молоко} | поддержка: 0.0171, достоверность: 0.2591
  {рис} -> {шоколад} | поддержка: 0.0171, достоверность: 0.2246
  {эскалоп} -> {минеральная вода} | поддержка: 0.0171, достоверность: 0.2151
  {гамбургер} -> {шоколад} | поддержка: 0.0171, достоверность: 0.1957
  {молоко} -> {оливковое масло} | поддержка: 0.0171, достоверность: 0.1317
  {шоколад} -> {гамбургер} | поддержка: 0.0171, достоверность: 0.1041
  {шоколад} -> {рис} | поддержка: 0.0171, достоверность: 0.1041
  {замороженные овощи} -> {говяжий фарш} | поддержка: 0.0169, достоверность: 0.1776
  {говяжий фарш} -> {замороженные овощи} | поддержка: 0.0169, достоверность: 0.1723
  {низкокалорийный йогурт} -> {яйца} | поддержка: 0.0168, достоверность: 0.2195
  {креветки} -> {замороженные овощи} | поддержка: 0.0167, достоверность: 0.2332
  {замороженные овощи} -> {креветки} | поддержка: 0.0167, достоверность: 0.1748
  {блинчики} -> {молоко} | поддержка: 0.0165, достоверность: 0.1739
  {молоко} -> {блинчики} | поддержка: 0.0165, достоверность: 0.1276
  {макароны, шоколад} -> {минеральная вода} | поддержка: 0.0164, достоверность: 0.4020
  {травы и перец} -> {макароны} | поддержка: 0.0164, достоверность: 0.3315
  {растительное масло} -> {макароны} | поддержка: 0.0164, достоверность: 0.3211
  {минеральная вода, шоколад} -> {макароны} | поддержка: 0.0164, достоверность: 0.3114
  {макароны, минеральная вода} -> {шоколад} | поддержка: 0.0164, достоверность: 0.2680
  {оливковое масло} -> {шоколад} | поддержка: 0.0164, достоверность: 0.2490
  {эскалоп} -> {картофель-фри} | поддержка: 0.0164, достоверность: 0.2067
  {блинчики} -> {зеленый чай} | поддержка: 0.0164, достоверность: 0.1725
  {зеленый чай} -> {блинчики} | поддержка: 0.0164, достоверность: 0.1241
  {шоколад} -> {макароны, минеральная вода} | поддержка: 0.0164, достоверность: 0.1001
  {шоколад} -> {оливковое масло} | поддержка: 0.0164, достоверность: 0.1001
  {макароны, молоко} -> {минеральная вода} | поддержка: 0.0161, достоверность: 0.4368
  {минеральная вода, молоко} -> {макароны} | поддержка: 0.0161, достоверность: 0.3361
  {макароны, минеральная вода} -> {молоко} | поддержка: 0.0161, достоверность: 0.2636
  {замороженный смузи} -> {макароны} | поддержка: 0.0161, достоверность: 0.2547
  {помидоры} -> {замороженные овощи} | поддержка: 0.0161, достоверность: 0.2359
  {низкокалорийный йогурт} -> {макароны} | поддержка: 0.0161, достоверность: 0.2108
  {замороженные овощи} -> {помидоры} | поддержка: 0.0161, достоверность: 0.1692
  {молоко} -> {макароны, минеральная вода} | поддержка: 0.0161, достоверность: 0.1245
  {травы и перец} -> {говяжий фарш} | поддержка: 0.0160, достоверность: 0.3235
  {говяжий фарш} -> {травы и перец} | поддержка: 0.0160, достоверность: 0.1628
  {макароны, яйца} -> {минеральная вода} | поддержка: 0.0152, достоверность: 0.3931
  {суп} -> {молоко} | поддержка: 0.0152, достоверность: 0.3008
  {минеральная вода, яйца} -> {макароны} | поддержка: 0.0152, достоверность: 0.2984
  {макароны, минеральная вода} -> {яйца} | поддержка: 0.0152, достоверность: 0.2484
  {молоко} -> {суп} | поддержка: 0.0152, достоверность: 0.1173
  {мед} -> {минеральная вода} | поддержка: 0.0151, достоверность: 0.3174
  {суп} -> {макароны} | поддержка: 0.0149, достоверность: 0.2955
  {замороженный смузи} -> {шоколад} | поддержка: 0.0149, достоверность: 0.2358
  {рис} -> {картофель-фри} | поддержка: 0.0149, достоверность: 0.1965
  {курица} -> {молоко} | поддержка: 0.0148, достоверность: 0.2467
  {низкокалорийный йогурт} -> {шоколад} | поддержка: 0.0148, достоверность: 0.1934
  {говяжий фарш} -> {зеленый чай} | поддержка: 0.0148, достоверность: 0.1506
  {молоко} -> {курица} | поддержка: 0.0148, достоверность: 0.1142
  {зеленый чай} -> {говяжий фарш} | поддержка: 0.0148, достоверность: 0.1120
  {курица} -> {шоколад} | поддержка: 0.0147, достоверность: 0.2444
  {замороженный смузи} -> {картофель-фри} | поддержка: 0.0145, достоверность: 0.2295
  {блинчики} -> {говяжий фарш} | поддержка: 0.0145, достоверность: 0.1529
  {говяжий фарш} -> {блинчики} | поддержка: 0.0145, достоверность: 0.1479
  {курица} -> {яйца} | поддержка: 0.0144, достоверность: 0.2400
  {замороженные овощи} -> {зеленый чай} | поддержка: 0.0144, достоверность: 0.1510
  {зеленый чай} -> {замороженные овощи} | поддержка: 0.0144, достоверность: 0.1090
  {замороженный смузи} -> {молоко} | поддержка: 0.0143, достоверность: 0.2253
  {рис} -> {молоко} | поддержка: 0.0143, достоверность: 0.1877
  {молоко} -> {замороженный смузи} | поддержка: 0.0143, достоверность: 0.1101
  {молоко} -> {рис} | поддержка: 0.0143, достоверность: 0.1101
  {оливковое масло} -> {говяжий фарш} | поддержка: 0.0141, достоверность: 0.2146
